多参数水体组份原位光谱分析系统保存数据

保存时间：2018年9月19日 星期三 11:36:48-447
数据个数：2048

波长/nm	DN值
889.5881	7595
890.0106	7407
890.4330	7293
890.8555	7214
891.2780	7058
891.7004	6982
892.1229	6938
892.5454	6942
892.9678	7030
893.3904	7373
893.8129	8131
894.2353	9390
894.6578	10871
895.0804	12234
895.5029	12865
895.9254	12662
896.3480	12052
896.7706	11233
897.1931	10380
897.6156	9573
898.0382	8774
898.4608	8134
898.8833	7523
899.3059	6958
899.7284	6506
900.1510	6136
900.5736	5798
900.9962	5591
901.4188	5482
901.8415	5421
902.2640	5485
902.6867	5896
903.1093	6878
903.5319	8613
903.9546	10546
904.3773	12158
904.7999	12879
905.2225	12552
905.6451	11624
906.0679	10470
906.4905	9392
906.9132	8365
907.3359	7340
907.7586	6501
908.1813	5822
908.6040	5292
909.0267	4898
909.4494	4643
909.8721	4446
910.2948	4310
910.7175	4200
911.1403	4152
911.5630	4168
911.9857	4191
912.4085	4218
912.8312	4316
913.2540	4478
913.6768	4750
914.0995	5185
914.5223	6050
914.9451	7679
915.3679	10183
915.7906	12725
916.2134	14689
916.6362	15512
917.0590	15101
917.4818	13918
917.9046	12570
918.3274	11188
918.7503	9899
919.1731	8589
919.5959	7470
920.0188	6539
920.4417	5844
920.8645	5256
921.2873	4872
921.7101	4525
922.1331	4211
922.5558	3982
922.9788	3777
923.4016	3567
923.8245	3419
924.2474	3270
924.6703	3105
925.0932	2975
925.5161	2896
925.9390	2804
926.3619	2752
926.7848	2667
927.2077	2601
927.6306	2561
928.0535	2497
928.4764	2471
928.8994	2457
929.3223	2420
929.7454	2427
930.1683	2411
930.5912	2383
931.0142	2362
931.4371	2309
931.8601	2260
932.2831	2221
932.7060	2202
933.1290	2193
933.5520	2169
933.9749	2159
934.3979	2137
934.8209	2142
935.2440	2146
935.6670	2188
936.0900	2297
936.5130	2439
936.9360	2571
937.3590	2688
937.7821	2746
938.2051	2764
938.6281	2753
939.0511	2714
939.4741	2631
939.8972	2559
940.3203	2472
940.7433	2368
941.1664	2279
941.5894	2189
942.0125	2102
942.4355	2043
942.8586	2008
943.2817	1973
943.7048	1976
944.1279	2000
944.5510	2018
944.9741	2018
945.3972	2022
945.8202	2023
946.2433	2020
946.6665	2004
947.0895	1999
947.5126	1987
947.9358	1971
948.3589	1959
948.7820	1964
949.2051	2008
949.6283	2066
950.0514	2100
950.4745	2107
950.8977	2087
951.3208	2068
951.7440	2010
952.1672	1918
952.5903	1820
953.0135	1696
953.4366	1629
953.8597	1535
954.2829	1445
954.7062	1358
955.1293	1279
955.5524	1242
955.9756	1172
956.3988	1141
956.8220	1103
957.2452	1044
957.6684	1015
958.0916	989
958.5148	963
958.9380	929
959.3612	920
959.7844	912
960.2076	908
960.6309	894
961.0541	871
961.4773	857
961.9005	854
962.3237	848
962.7469	830
963.1702	831
963.5934	833
964.0167	826
964.4399	811
964.8632	821
965.2864	831
965.7097	829
966.1329	836
966.5562	843
966.9794	853
967.4026	880
967.8259	909
968.2492	941
968.6725	947
969.0958	956
969.5190	971
969.9423	967
970.3656	965
970.7889	955
971.2122	955
971.6355	950
972.0588	929
972.4820	931
972.9053	938
973.3286	920
973.7519	896
974.1752	898
974.5986	911
975.0219	892
975.4452	897
975.8685	906
976.2918	942
976.7151	995
977.1384	1055
977.5617	1172
977.9850	1349
978.4084	1674
978.8317	2116
979.2551	2548
979.6783	2822
980.1017	2862
980.5251	2685
980.9484	2371
981.3718	2048
981.7951	1740
982.2184	1493
982.6418	1272
983.0651	1098
983.4885	952
983.9119	840
984.3351	756
984.7585	715
985.1819	658
985.6053	626
986.0287	628
986.4520	624
986.8754	615
987.2988	599
987.7220	605
988.1455	655
988.5688	679
988.9922	702
989.4156	729
989.8389	776
990.2623	843
990.6857	1032
991.1091	1335
991.5325	1767
991.9559	2197
992.3793	2473
992.8027	2520
993.2261	2412
993.6494	2223
994.0729	2009
994.4963	1776
994.9196	1550
995.3430	1354
995.7664	1181
996.1898	1026
996.6132	909
997.0367	835
997.4601	762
997.8835	705
998.3069	667
998.7303	638
999.1537	621
999.5771	593
1000.0010	578
1000.4240	568
1000.8470	567
1001.2710	570
1001.6940	560
1002.1180	561
1002.5410	564
1002.9640	556
1003.3880	545
1003.8110	545
1004.2350	535
1004.6580	523
1005.0820	525
1005.5050	529
1005.9280	536
1006.3520	536
1006.7750	532
1007.1990	531
1007.6220	520
1008.0460	536
1008.4690	555
1008.8930	555
1009.3160	569
1009.7390	568
1010.1630	595
1010.5860	606
1011.0100	626
1011.4330	634
1011.8570	639
1012.2800	629
1012.7040	608
1013.1270	580
1013.5500	574
1013.9740	565
1014.3970	537
1014.8210	513
1015.2440	502
1015.6680	500
1016.0910	494
1016.5150	462
1016.9380	448
1017.3610	452
1017.7850	434
1018.2080	428
1018.6320	429
1019.0550	417
1019.4790	417
1019.9020	419
1020.3260	414
1020.7490	406
1021.1720	393
1021.5960	380
1022.0200	391
1022.4430	387
1022.8660	378
1023.2900	367
1023.7130	362
1024.1370	366
1024.5600	369
1024.9840	363
1025.4070	354
1025.8310	352
1026.2540	368
1026.6770	368
1027.1010	368
