多参数水体组份原位光谱分析系统保存数据

保存时间：2018年9月19日 星期三 11:36:48-447
数据个数：2048

波长/nm	DN值
345.4666	13826
345.8643	13867
346.2621	14024
346.6599	14060
347.0578	14003
347.4556	13983
347.8535	13999
348.2515	14170
348.6494	14399
349.0474	14604
349.4454	14852
349.8435	15101
350.2416	15323
350.6397	15543
351.0379	15858
351.4361	16118
351.8343	16388
352.2325	16736
352.6308	17140
353.0291	17680
353.4275	18165
353.8258	18833
354.2242	19446
354.6227	19902
355.0211	20522
355.4196	21103
355.8182	21591
356.2167	22170
356.6153	22647
357.0139	23005
357.4126	23592
357.8112	24112
358.2100	24388
358.6087	24503
359.0074	24694
359.4063	24841
359.8051	25005
360.2040	25434
360.6028	25947
361.0018	26424
361.4007	26806
361.7997	26708
362.1988	26331
362.5978	25587
362.9969	24653
363.3960	23673
363.7951	22876
364.1942	22264
364.5935	21834
364.9927	21444
365.3919	21105
365.7913	20794
366.1906	20697
366.5899	20437
366.9893	20234
367.3887	20036
367.7882	19826
368.1876	19684
368.5871	19537
368.9867	19427
369.3862	19363
369.7858	19345
370.1854	19342
370.5851	19339
370.9847	19432
371.3845	19526
371.7842	19585
372.1840	19580
372.5838	19625
372.9836	19748
373.3835	19799
373.7834	19847
374.1833	19931
374.5833	19970
374.9832	20025
375.3832	20077
375.7833	20101
376.1833	20179
376.5835	20274
376.9836	20326
377.3838	20297
377.7839	20209
378.1842	19944
378.5844	19580
378.9847	19245
379.3850	19254
379.7853	19254
380.1857	19240
380.5861	19408
380.9865	19544
381.3870	19662
381.7875	19787
382.1880	19881
382.5885	20033
382.9891	20275
383.3897	20726
383.7903	21021
384.1910	21175
384.5917	21350
384.9924	21497
385.3932	21689
385.7939	21938
386.1947	22300
386.5956	22640
386.9965	22968
387.3974	23389
387.7983	23825
388.1993	24371
388.6003	24907
389.0013	25476
389.4023	26093
389.8034	26795
390.2045	27545
390.6056	28116
391.0068	28733
391.4079	29263
391.8091	29702
392.2104	29931
392.6117	30131
393.0130	30151
393.4144	30190
393.8157	30085
394.2171	30053
394.6186	30004
395.0200	29846
395.4214	29851
395.8230	29687
396.2245	29558
396.6261	29557
397.0276	29773
397.4293	30080
397.8309	30234
398.2326	30495
398.6344	30710
399.0361	30987
399.4379	31254
399.8396	31559
400.2415	31982
400.6433	32518
401.0452	32970
401.4471	33428
401.8490	34047
402.2510	34539
402.6530	34993
403.0551	35568
403.4571	35994
403.8592	36443
404.2613	37023
404.6635	37400
405.0656	37668
405.4678	37951
405.8700	38021
406.2723	38070
406.6745	38328
407.0768	38449
407.4792	38666
407.8816	38814
408.2840	39061
408.6864	39360
409.0888	39968
409.4913	40286
409.8939	40544
410.2964	40989
410.6989	41204
411.1015	41280
411.5042	41393
411.9068	41517
412.3094	41560
412.7122	41821
413.1149	42058
413.5177	42220
413.9205	42576
414.3233	43215
414.7262	43708
415.1290	44167
415.5319	44836
415.9348	45482
416.3378	46268
416.7408	47139
417.1438	48040
417.5468	49841
417.9499	50427
418.3530	52087
418.7561	53423
419.1593	54523
419.5624	55308
419.9657	55818
420.3689	56130
420.7722	56336
421.1754	56483
421.5788	56577
421.9821	56626
422.3855	56657
422.7889	56675
423.1923	56691
423.5958	56695
423.9993	56708
424.4028	56700
424.8063	56682
425.2099	56640
425.6135	56571
426.0171	56390
426.4207	55820
426.8244	55156
427.2281	54646
427.6319	54083
428.0356	52845
428.4394	51901
428.8432	51245
429.2471	50506
429.6509	49879
430.0548	49269
430.4588	48807
430.8627	48383
431.2667	48012
431.6707	47681
432.0747	47525
432.4788	47629
432.8829	47562
433.2870	47441
433.6911	47393
434.0953	47374
434.4995	47384
434.9037	47296
435.3080	47359
435.7122	47409
436.1165	47509
436.5209	47602
436.9252	47724
437.3296	48078
437.7340	48371
438.1384	48729
438.5429	49121
438.9474	50009
439.3519	50071
439.7564	50551
440.1610	51297
440.5656	51349
440.9703	51116
441.3749	51645
441.7796	51165
442.1843	50546
442.5890	50421
442.9938	50033
443.3986	49682
443.8034	49282
444.2082	49039
444.6131	49235
445.0179	49539
445.4229	49519
445.8279	50225
446.2328	50538
446.6378	50619
447.0428	51002
447.4479	51327
447.8530	51033
448.2581	50478
448.6632	50526
449.0684	50356
449.4735	50097
449.8787	50050
450.2840	50080
450.6893	49718
451.0945	49489
451.4998	49511
451.9052	49576
452.3105	49483
452.7160	49238
453.1214	49033
453.5268	48754
453.9323	48532
454.3378	48261
454.7433	48045
455.1488	48138
455.5544	48559
455.9601	48877
456.3657	49355
456.7713	50799
457.1770	51722
457.5827	52798
457.9884	53882
458.3942	54858
458.8000	55479
459.2058	55891
459.6116	56154
460.0175	56309
460.4234	56382
460.8293	56335
461.2352	56116
461.6412	55334
462.0472	54326
462.4532	53901
462.8592	53303
463.2653	53018
463.6714	52416
464.0775	52665
464.4836	51859
464.8898	52693
465.2960	52862
465.7022	51920
466.1085	52377
466.5148	51994
466.9211	51883
467.3274	52384
467.7337	51916
468.1401	51192
468.5465	51141
468.9529	50394
469.3594	50382
469.7659	49988
470.1724	49779
470.5789	49978
470.9854	50138
471.3921	49869
471.7986	49670
472.2053	50234
472.6119	50219
473.0186	50878
473.4253	50918
473.8320	50762
474.2388	51621
474.6456	51526
475.0524	51056
475.4592	51739
475.8661	52448
476.2729	52988
476.6798	53462
477.0868	54022
477.4937	54828
477.9007	55333
478.3077	55745
478.7148	56052
479.1218	56267
479.5289	56401
479.9360	56481
480.3431	56556
480.7503	56608
481.1575	56636
481.5647	56663
481.9719	56662
482.3792	56668
482.7865	56672
483.1937	56679
483.6011	56674
484.0084	56679
484.4158	56685
484.8232	56689
485.2307	56695
485.6381	56697
486.0456	56696
486.4531	56709
486.8606	56703
487.2681	56700
487.6758	56709
488.0833	56719
488.4910	56729
488.8986	56730
489.3063	56735
489.7140	56735
490.1217	56748
490.5294	56751
490.9372	56749
491.3450	56748
491.7528	56754
492.1607	56767
492.5685	56751
492.9765	56729
493.3844	56680
493.7923	56434
494.2003	55525
494.6082	54024
495.0163	53350
495.4243	52612
495.8324	51940
496.2405	51428
496.6486	50926
497.0567	50464
497.4649	49932
497.8730	49343
498.2813	48655
498.6895	47959
499.0978	47357
499.5061	46632
499.9144	45986
500.3227	45476
500.7310	44915
501.1394	44439
501.5479	43902
501.9562	43673
502.3647	43648
502.7732	43372
503.1816	43098
503.5901	42927
503.9987	42958
504.4073	42677
504.8159	42266
505.2245	41901
505.6331	41625
506.0418	41608
506.4505	41391
506.8592	41156
507.2679	41030
507.6767	40801
508.0854	40858
508.4943	41099
508.9031	41137
509.3120	41167
509.7208	41176
510.1297	41163
510.5386	41114
510.9476	41187
511.3565	41164
511.7656	41100
512.1746	41047
512.5836	40881
512.9927	40875
513.4017	40924
513.8109	40853
514.2200	40817
514.6292	40834
515.0383	40946
515.4475	40964
515.8568	41270
516.2661	41643
516.6753	42044
517.0845	42275
517.4939	42667
517.9033	42958
518.3126	43215
518.7220	43173
519.1314	42941
519.5409	42485
519.9503	41959
520.3598	41588
520.7693	41296
521.1788	41036
521.5884	41208
521.9980	41374
522.4075	41738
522.8172	42093
523.2268	42884
523.6365	43717
524.0462	44325
524.4559	45198
524.8656	46348
525.2754	48837
525.6852	50176
526.0950	52524
526.5048	54063
526.9146	55063
527.3245	55687
527.7344	56076
528.1443	56316
528.5543	56468
528.9642	56540
529.3742	56545
529.7842	56468
530.1942	55994
530.6042	53986
531.0143	52262
531.4244	51192
531.8345	50788
532.2447	50673
532.6548	50444
533.0651	50792
533.4753	51288
533.8855	50558
534.2957	49681
534.7060	48803
535.1163	47780
535.5267	46740
535.9370	46191
536.3474	46123
536.7578	46002
537.1682	45862
537.5786	45871
537.9891	45866
538.3995	45982
538.8101	46422
539.2205	47012
539.6311	47753
540.0416	49330
540.4523	49784
540.8628	51745
541.2735	52740
541.6841	53173
542.0948	52260
542.5055	50842
542.9161	49287
543.3269	47824
543.7377	46452
544.1485	44978
544.5594	43975
544.9702	43084
545.3810	42381
545.7919	41748
546.2028	40884
546.6136	40256
547.0247	39808
547.4357	39183
547.8466	38538
548.2576	37850
548.6686	37013
549.0797	36188
549.4907	35626
549.9019	35189
550.3129	34670
550.7241	34390
551.1353	34204
551.5464	33941
551.9576	33950
552.3688	34027
552.7800	34020
553.1913	33901
553.6025	33641
554.0139	33309
554.4252	33047
554.8365	32798
555.2480	32520
555.6594	32255
556.0708	32143
556.4822	31909
556.8937	31393
557.3052	31029
557.7167	30947
558.1282	30962
558.5397	31037
558.9513	31176
559.3629	31343
559.7745	31360
560.1861	31429
560.5978	31639
561.0095	31883
561.4211	32313
561.8328	32642
562.2446	33119
562.6563	33358
563.0681	33689
563.4799	34266
563.8917	34736
564.3035	35261
564.7153	35835
565.1273	36353
565.5392	36800
565.9510	37250
566.3631	37844
566.7750	38330
567.1870	38441
567.5990	38558
568.0110	38741
568.4231	39040
568.8352	39069
569.2473	39474
569.6594	39941
570.0715	40244
570.4837	40445
570.8958	40903
571.3080	41027
571.7203	41200
572.1324	41353
572.5447	41650
572.9570	41739
573.3693	41977
573.7816	41792
574.1940	41444
574.6063	41330
575.0186	41269
575.4310	41152
575.8435	40885
576.2559	40377
576.6684	39853
577.0809	39262
577.4934	38798
577.9059	38331
578.3184	37898
578.7310	37584
579.1436	37304
579.5562	36797
579.9688	36321
580.3815	36309
580.7941	36278
581.2068	36139
581.6195	36037
582.0323	36005
582.4450	35974
582.8578	36012
583.2705	35953
583.6833	35990
584.0961	35867
584.5090	35801
584.9219	35892
585.3347	36121
585.7476	36207
586.1605	36212
586.5735	36426
586.9865	36546
587.3995	36780
587.8125	36969
588.2256	37125
588.6385	37247
589.0516	37272
589.4647	37461
589.8778	37672
590.2910	37861
590.7042	38151
591.1173	38403
591.5305	38539
591.9437	38586
592.3569	38730
592.7701	38911
593.1834	39229
593.5967	39606
594.0099	39962
594.4233	40516
594.8366	40822
595.2500	41294
595.6634	41650
596.0768	41936
596.4902	42204
596.9036	42217
597.3171	42048
597.7305	41701
